scraped_at_utc,section,event_name,region,time_range
2026-03-31T02:59:25.494732+00:00,live_events,GC 26: LAN Stage 1 AMER LIVE,,
2026-03-31T02:59:25.494732+00:00,ongoing_events,VCL 26: Korea Split 1 PAC Jan 31 - Apr 16 VCL 26: Japan Split 1 PAC Feb 1 - Apr 16 GC 26: Brazil Stage 1 AMER Mar 6 - Apr 30 GC 26: NA Stage 1 AMER Mar 17 - Jun 5 VCL 26: NA Stage 2 AMER Mar 23 - May 7 GC 26: SEA Split 1 PAC Mar 26 - Apr 23 GC 26: OCE Split 1 PAC Mar 26 - Apr 23 VCL 26: SA Split 1 PAC Mar 6 - Apr 9 GC 26: LAS Stage 1 AMER Feb 11 - Apr 6,,
2026-03-31T02:59:25.494732+00:00,upcoming_events,VCT 26: AMER Stage 1 AMER Apr 10 - May 24 VCT 26: EMEA Stage 1 EMEA Apr 1 - May 17 VCT 26: PAC Stage 1 PAC Apr 2 - May 17 VCT 26: CN Stage 1 CN Mar 31 Masters London 2026 VCT Jun 5 - 21 Champions 2026 VCT Sep 23 - Oct 18 VCL 26: TR Stage 2 EMEA Apr 4 - May 10 VCL 26: FR Stage 2 EMEA Apr 4 - May 12 VCL 26: DACH Stage 2 EMEA Apr 4 - May 10 GC 26: Korea Split 1 PAC Apr 5 - May 6 GC 26: Japan Split 1 PAC Apr 9 - May 6,,
2026-03-31T02:59:25.494732+00:00,completed_events,Masters Santiago 2026 VCT Feb 28 - Mar 15 VCT 26: EMEA Kickoff EMEA Jan 20 - Feb 15 VCT 26: AMER Kickoff AMER Jan 15 - Feb 15 VCT 26: PAC Kickoff PAC Jan 22 - Feb 15 VCT 26: CN Kickoff CN Jan 21 - Feb 9 EMEA Clash 26 EMEA Feb 19 - 25 Champions 2025 VCT Sep 12 - Oct 5 VCL 26: BR Stage 1 AMER Jan 28 - Mar 29 VCL 26: ES Stage 1 EMEA Jan 11 - Feb 8 GC 26: EMEA Stage 1 EMEA Jan 26 - Feb 22 VCL 26: NE Stage 1 EMEA Feb 7 - Mar 8 VCL 26: MENA-NA Kickoff EMEA Jan 6 - Mar 7 VCL 26: FR Stage 1 EMEA Jan 9 - Feb 11 GC 26: Brazil Kickoff AMER Jan 23 - Feb 17 VCL 26: DACH Stage 1 EMEA Jan 10 - Mar 1 GC 26: LATAM Kickoff AMER Jan 30 - Feb 8 VCL 26: LAN Stage 1 AMER Jan 26 - Mar 29 VCL 26: LAS Stage 1 AMER Jan 26 - Mar 29 VCL 26: EMEA Stage 1 EMEA Mar 19 - 29 VCL 26: SEA Split 1 PAC Feb 10 - Mar 29 CN EVO 26: Act 1 CN Mar 15 - 22 VCL 26: MENA Kickoff P/R EMEA Mar 11 - 15 VCL 26: NA Stage 1 AMER Jan 19 - Mar 12 VCL 26: DACH S1 - VCL EMEA Qual EMEA Mar 4 - 10 VCL 26: TR Kickoff EMEA Jan 10 - Mar 8 VCL 26: ES Stage 2 EMEA Feb 28 - Mar 8 VCL 26: MENA-ME Kickoff EMEA Jan 5 - Mar 7 GC 26: NA Kickoff AMER Feb 20 - Mar 1 VCL 26: SEA S1 - VN PAC Jan 28 - Feb 27 VCL 26: SEA S1 - TH PAC Jan 28 - Feb 22 VCL 26: SEA S1 - ID PAC Jan 28 - Feb 22 VCL 26: SEA S1 - PH PAC Jan 28 - Feb 22 VCL 26: SEA S1 - ROSEA PAC Jan 28 - Feb 22 VCL 26: NE Kickoff EMEA Jan 22 - Feb 2 GC 26: EMEA Kickoff EMEA Jan 15 - 18 VCL 26: NA Qualifier AMER Jan 5 - 12 PL 2026: Asia-Pacific PAC Jan 8 - 11 VCL 26: NE Kickoff Open Qualifier EMEA Jan 2 - 4,,
